n_features,train_score,val_score
1,0.8897551132715766,0.7879677182685253
2,0.974777584151151,0.8800440205429201
3,0.9926625699348803,0.9189288334556126
4,0.9959644134641842,0.9314013206162876
5,0.9962395670916262,0.9398385913426266
6,0.9962395670916262,0.950476889214967
7,0.9961478492158121,0.9530447542186353
8,0.9961478492158121,0.9570799706529713
9,0.9962395670916262,0.9578136463683052
10,0.998257360359534,0.9574468085106383
11,0.999449692745116,0.9614820249449744
12,0.999724846372558,0.9633162142333089
13,0.999724846372558,0.9600146735143067
14,0.999724846372558,0.9644167278063096
15,0.999724846372558,0.9651504035216434
16,0.999724846372558,0.9629493763756419
17,0.999724846372558,0.9647835656639765
18,0.999724846372558,0.9636830520909758
19,0.999724846372558,0.9688187820983125
20,0.999816564248372,0.9688187820983125
21,0.999816564248372,0.9666177549523111
22,0.999816564248372,0.9677182685253118
23,0.999816564248372,0.966984592809978
24,0.999816564248372,0.9666177549523111
25,0.999816564248372,0.9677182685253118
26,1.0,0.9761555392516508
27,1.0,0.9768892149669846
28,1.0,0.9765223771093177
29,1.0,0.9757887013939839
30,1.0,0.9765223771093177
31,1.0,0.9779897285399853
32,1.0,0.9728539985326485
33,1.0,0.975421863536317
34,1.0,0.9765223771093177
35,1.0,0.9739545121056493
36,1.0,0.9757887013939839
37,1.0,0.9776228906823184
38,1.0,0.9761555392516508
39,1.0,0.9779897285399853
40,1.0,0.975421863536317
41,1.0,0.9757887013939839
42,1.0,0.9739545121056493
43,1.0,0.9743213499633162
44,1.0,0.975421863536317
45,1.0,0.9735876742479824
46,1.0,0.9757887013939839
47,1.0,0.97505502567865
48,1.0,0.9761555392516508
49,1.0,0.9746881878209831
50,1.0,0.9732208363903155
51,1.0,0.9732208363903155
52,1.0,0.9765223771093177
53,1.0,0.9739545121056493
54,1.0,0.9757887013939839
55,1.0,0.9743213499633162
56,1.0,0.9743213499633162
57,1.0,0.9724871606749816
58,1.0,0.975421863536317
59,1.0,0.9739545121056493
60,1.0,0.9757887013939839
61,1.0,0.9746881878209831
62,1.0,0.97505502567865
63,1.0,0.975421863536317
64,1.0,0.9746881878209831
65,1.0,0.9732208363903155
66,1.0,0.9721203228173148
67,1.0,0.9757887013939839
68,1.0,0.9732208363903155
69,1.0,0.9761555392516508
70,1.0,0.97505502567865
71,1.0,0.9772560528246516
72,1.0,0.9739545121056493
73,1.0,0.97505502567865
74,1.0,0.97505502567865
75,1.0,0.9768892149669846
76,1.0,0.9761555392516508
77,1.0,0.9746881878209831
78,1.0,0.97505502567865
79,1.0,0.9757887013939839
80,1.0,0.9761555392516508
81,1.0,0.9772560528246516
82,1.0,0.9761555392516508
83,1.0,0.9776228906823184
84,1.0,0.9761555392516508
85,1.0,0.9765223771093177
86,1.0,0.9743213499633162
87,1.0,0.9746881878209831
88,1.0,0.97505502567865
89,1.0,0.9743213499633162
90,1.0,0.9721203228173148
91,1.0,0.975421863536317
92,1.0,0.97505502567865
93,1.0,0.9746881878209831
94,1.0,0.9761555392516508
95,1.0,0.9743213499633162
96,1.0,0.9761555392516508
97,1.0,0.97505502567865
98,1.0,0.97505502567865
99,1.0,0.975421863536317
100,1.0,0.9728539985326485
101,1.0,0.9757887013939839
102,1.0,0.975421863536317
103,1.0,0.9765223771093177
104,1.0,0.97505502567865
105,1.0,0.97505502567865
106,1.0,0.9743213499633162
107,1.0,0.9746881878209831
108,1.0,0.9746881878209831
109,1.0,0.9724871606749816
110,1.0,0.975421863536317
111,1.0,0.975421863536317
112,1.0,0.9717534849596479
113,1.0,0.9728539985326485
114,1.0,0.9743213499633162
115,1.0,0.9739545121056493
116,1.0,0.9746881878209831
117,1.0,0.9717534849596479
118,1.0,0.9739545121056493
119,1.0,0.9761555392516508
120,1.0,0.9746881878209831
121,1.0,0.9739545121056493
122,1.0,0.9739545121056493
123,1.0,0.97505502567865
124,1.0,0.9743213499633162
125,1.0,0.9746881878209831
126,1.0,0.9724871606749816
127,1.0,0.97505502567865
128,1.0,0.9706529713866471
129,1.0,0.9724871606749816
130,1.0,0.9735876742479824
131,1.0,0.97505502567865
132,1.0,0.9728539985326485
133,1.0,0.9721203228173148
134,1.0,0.9721203228173148
135,1.0,0.975421863536317
136,1.0,0.9732208363903155
137,1.0,0.9728539985326485
138,1.0,0.9717534849596479
139,1.0,0.9728539985326485
140,1.0,0.9721203228173148
141,1.0,0.9732208363903155
142,1.0,0.9743213499633162
143,1.0,0.9724871606749816
144,1.0,0.9724871606749816
145,1.0,0.9728539985326485
146,1.0,0.9724871606749816
147,1.0,0.9721203228173148
148,1.0,0.9721203228173148
149,1.0,0.9732208363903155
150,1.0,0.9702861335289802
151,1.0,0.971386647101981
152,1.0,0.971386647101981
153,1.0,0.9721203228173148
154,1.0,0.9724871606749816
155,1.0,0.9732208363903155
156,1.0,0.971386647101981
157,1.0,0.9706529713866471
158,1.0,0.9721203228173148
159,1.0,0.9724871606749816
160,1.0,0.971019809244314
161,1.0,0.971386647101981
162,1.0,0.9728539985326485
163,1.0,0.9706529713866471
