feature,importance
2_y,0.04712778414294869
0_y,0.03728526917423073
1_y,0.03609105452933302
5_y,0.0339083046244723
16_y,0.03339932988089844
0_x,0.029750055779638917
3_y,0.028410392600838906
1_z,0.028407119965825844
0_z,0.027041345888761618
8_x,0.024402798730479208
13_z,0.0225113380350935
11_y,0.021404796922526788
14_y,0.01982119340822367
2_x,0.018456507071240434
1_x,0.017692349066113184
5_x,0.016438368928637072
17_y,0.01642041343218248
2_z,0.016363737099098677
11_x,0.01610411707840272
8_y,0.014978556531015862
3_x,0.014888735707476413
4_x,0.014477268733600938
5_z,0.014318139588782752
11_z,0.013375029397493032
6_x,0.012683458018795153
frame_idx,0.01265507705013925
14_z,0.012573519176224752
14_x,0.012328164676344639
6_y,0.012135084879445776
17_x,0.011874533231782797
7_x,0.011858619639788945
17_z,0.01168577019015288
4_z,0.011664821827175957
9_x,0.011451927153182436
13_x,0.011238639875509354
13_y,0.011234424966707847
12_x,0.011025673964706058
12_y,0.009438643379648634
16_z,0.009285405276642872
12_z,0.008870420584414266
6_z,0.008625208692053922
4_y,0.008514677778941064
16_x,0.008440253645558187
3_z,0.007638215373791502
15_x,0.007528866169826997
7_z,0.00743879998505725
15_z,0.007415339002855207
15_y,0.007247263909836412
9_y,0.006462585802053034
8_z,0.006223857572989755
9_z,0.0052367255003410796
7_y,0.004846436339709828
1_vy,0.004042821795529614
1_vx,0.0038049127164601695
2_vx,0.0033754897231143693
5_vy,0.0032495329420409594
8_vz,0.0028536098801724666
1_vz,0.002810309232736331
2_vy,0.00274593335720605
3_vx,0.0027433415901377007
0_vz,0.002520952811400254
7_vy,0.002493128014680191
6_vx,0.0024901639034334115
10_x,0.0024431859937028666
5_vx,0.0024391559397935656
5_vz,0.002433063696863301
3_uvx,0.0024063470421312808
0_vy,0.0023758041788836276
1_uvx,0.0023709462804317244
2_vz,0.0023563496640401516
16_vy,0.0023272339587512222
10_z,0.002298706375769973
7_vx,0.002272280713970709
14_vy,0.0022667997198110123
14_vx,0.002130464076739718
5_uvz,0.0021116272755773327
0_vx,0.0021115979885726974
6_vy,0.0021097726754826887
5_uvx,0.0019523024642529227
8_vx,0.0019409996207307803
14_vz,0.001935096924810605
11_vx,0.0018920743129952444
7_uvy,0.001884816487233154
11_vz,0.0018835455320545627
1_uvy,0.0018650863369860254
8_vy,0.0018253749482347794
16_vx,0.0018210796628781755
7_vz,0.0018118720878227135
6_uvz,0.0017971449767237079
11_uvx,0.0017861745438256913
11_uvz,0.0017810123872427457
2_uvx,0.0017702234632757732
11_vy,0.0017624210154751033
16_uvx,0.0017393165005879288
5_uvy,0.0017150535514835654
6_vz,0.0016466874994389852
6_uvx,0.0016012542351271845
2_uvz,0.001549805907740451
7_uvz,0.0015468200106440887
3_uvy,0.0015238783224110505
3_vy,0.0015225984303822834
1_uvz,0.0015140647983567432
0_uvy,0.0015020930662728812
16_uvy,0.0014870589317204264
7_uvx,0.0014759168308755531
0_uvz,0.0014722992845562202
16_vz,0.0014554553007917644
4_uvy,0.0014440564364530087
3_uvz,0.0014279910377471554
15_vx,0.001398464222339492
4_vy,0.0013909595115258204
4_vx,0.0013909555324433571
2_uvy,0.0013806246862744795
0_uvx,0.001373224447661808
10_y,0.0013521552882920817
4_vz,0.0013380158353468105
8_uvy,0.001321915998455299
6_uvy,0.0013095414740890252
8_uvx,0.0012863898773914654
3_vz,0.0012841803582561806
14_uvy,0.001250890143627905
15_vz,0.0012212334055456025
15_vy,0.001183463101273844
12_vx,0.001175803086630858
14_uvx,0.0011740825943678194
8_uvz,0.001173629871877182
14_uvz,0.0011715481549846613
15_uvz,0.001157907833687865
4_uvx,0.001099822087560118
11_uvy,0.0010771672356022616
16_uvz,0.0010550725507878869
4_uvz,0.0010538112014789557
9_vy,0.001046699298467305
15_uvx,0.0009547913950310303
12_vz,0.0009086456429225481
13_vx,0.0008820358683508152
17_vx,0.0008657607664036655
13_uvx,0.0008163835433209615
17_uvx,0.0008107146209628569
9_vz,0.0008037789345841581
17_uvz,0.000794697864424481
12_uvx,0.0007800725426015394
9_vx,0.0007767766586958771
13_uvy,0.0007510441897133225
15_uvy,0.0007509708256284793
9_uvy,0.000712448431430427
12_uvy,0.0007106907664282233
12_uvz,0.0006718156520361208
12_vy,0.000658881161499218
17_vz,0.0006413222180849026
10_uvx,0.0006380200729111861
17_vy,0.0006336669322322746
17_uvy,0.0006052524213415654
13_uvz,0.0006048358207560089
9_uvx,0.0005138980576303424
9_uvz,0.0005052346351979003
10_vy,0.0005011477690294
13_vz,0.0004934211761552327
13_vy,0.00048366383819511613
10_uvy,0.0004170072903271386
10_vz,0.0003814235467657149
10_vx,0.0003300990787934354
10_uvz,0.0003204140430225271
